id	town	user	pop	latitude	longitude	code
1886	"Rozsaszentmarton"	502	1949	47.789212	19.738224	2765
1887	"Rudabanya"	531	2488	48.376834	20.619772	2302
1888	"Rudolftelep"	140	714	48.311035	20.671545	3412
1889	"Rum"	336	1163	47.128341	16.842954	1059
1890	"Ruzsa"	694	2522	46.28957	19.748805	396
1891	"Sagvar"	529	1802	46.839744	18.100861	1494
1892	"Sajobabony"	511	2782	48.176375	20.74088	350
1893	"Sajoecseg"	220	1007	48.19217	20.77487	2733
1894	"Sajogalgoc"	63	365	48.294076	20.53234	1017
1895	"Sajohidveg"	131	1048	48.00134	20.950535	308
1896	"Sajoivanka"	166	605	48.27153	20.583265	321
1897	"Sajokeresztur"	371	1505	48.17276	20.773935	2694
1898	"Sajolad"	501	3095	48.03804	20.899485	2717
1899	"Sajonemeti"	64	493	48.271884	20.383564	1133
1900	"Sajooros"	320	1343	47.953362	21.021429	812
1901	"Sajopalfala"	154	727	48.161654	20.845799	1853
1902	"Sajopetri"	276	1515	48.035625	20.888262	1663
1903	"Sajoszentpeter"	3572	11965	48.218427	20.71453	1605
1904	"Sajoszoged"	585	2265	47.947239	20.991369	3034
1905	"Sajovamos"	565	2200	48.18198	20.83181	2073
1906	"Sajovelezd"	174	826	48.272685	20.46228	2775
1907	"Sajtoskal"	86	407	47.40324	16.855299	1057
1908	"Salfold"	31	59	46.83456	17.550409	3079
1909	"Salgotarjan"	15356	36467	48.105135	19.80842	2578
1910	"Salkoveskut"	80	506	47.294449	16.694839	1888
1911	"Salomvar"	190	615	46.85033	16.66182	2772
1912	"Saly"	192	2085	47.948006	20.663554	472
1913	"Sand"	72	397	46.422375	17.124015	1555
1914	"Sandorfalva"	2956	7953	46.36153	20.096715	3170
1915	"Santos"	115	513	46.352524	17.882949	3112
1916	"Sap"	245	938	47.251929	21.355176	2611
1917	"Sarand"	564	2238	47.410041	21.632833	2500
1918	"Sarbogard"	4139	12448	46.883955	18.621115	2369
1919	"Saregres"	139	752	46.780886	18.593308	272
1920	"Sarhida"	184	792	46.755295	16.84943	810
1921	"Sarisap"	987	2708	47.674925	18.680917	2690
1922	"Sarkad"	3123	10011	46.747685	21.382305	2856
1923	"Sarkadkeresztur"	334	1495	46.81044	21.38257	2516
1924	"Sarkeresztes"	417	1484	47.250357	18.350493	3180
1925	"Sarkeresztur"	307	2561	47.00651	18.54522	2534
1926	"Sarkeszi"	136	611	47.15746	18.282815	269
1927	"Sarmellek"	512	1843	46.708805	17.168687	1490
1928	"Sarok"	50	109	45.843833	18.609331	2086
1929	"Sarosd"	857	3325	47.04298	18.64572	2514
1930	"Sarospatak"	5257	12590	48.321015	21.56773	2747
1931	"Sarpilis"	108	687	46.249853	18.740095	474
1932	"Sarretudvari"	839	2751	47.240475	21.18741	2394
1933	"Sarrod"	151	1175	47.631425	16.86049	3002
1934	"Sarszentagota"	312	1346	46.96889	18.55843	3153
1935	"Sarszentlorinc"	256	932	46.617388	18.608784	2081
1936	"Sarszentmihaly"	841	3062	47.15241	18.33627	1177
1937	"Sarud"	209	1126	47.59464	20.58871	718
1938	"Sarvar"	7359	14764	47.25322	16.932345	2130
1939	"Sasd"	1606	3282	46.254465	18.10607	3216
1940	"Saska"	90	256	46.934092	17.47645	1377
1941	"Sata"	214	1037	48.185488	20.395494	287
1942	"Satoraljaujhely"	5996	15355	48.396642	21.655591	512
1943	"Satorhely"	205	642	45.941285	18.631555	3348
1944	"Savoly"	118	505	46.591826	17.272235	205
1945	"Se"	294	1417	47.24319	16.55119	1027
1946	"Segesd"	505	2461	46.34263	17.3476	2736
1947	"Selyeb"	76	489	48.33908	20.95268	2538
1948	"Sellye"	1536	2752	45.872135	17.847675	2874
1949	"Semjenhaza"	120	618	46.397558	16.847312	3099
1950	"Senyo"	342	1406	48.003312	21.878015	449
1951	"Seregelyes"	1441	4560	47.113534	18.589789	2020
1952	"Serenyfalva"	169	970	48.31655	20.390146	3253
1953	"Sersekszolos"	40	148	46.76474	18.0158	3213
1954	"Sikator"	127	291	47.43582	17.852331	860
1955	"Siklos"	5342	9631	45.85193	18.298685	551
1956	"Simasag"	155	534	47.423324	16.843186	2676
1957	"Simontornya"	1440	4028	46.756875	18.542425	2078
1958	"Sioagard"	323	1246	46.39018	18.655355	2564
1959	"Siofok"	11639	24375	46.906469	18.054068	1763
1960	"Siojut"	157	603	46.878	18.13849	2309
1961	"Sirok"	442	1846	47.931391	20.196773	852
1962	"Sitke"	162	652	47.243154	17.025944	3074
1963	"Sobor"	86	270	47.473484	17.367722	2420
1964	"Sojtor"	497	1506	46.673328	16.85376	1908
1965	"Sokoropatka"	312	1081	47.480198	17.702395	1262
1966	"Solt"	2258	6285	46.804529	18.995143	2911
1967	"Soltszentimre"	275	1261	46.771005	19.286395	1821
1968	"Soltvadkert"	2638	7433	46.581045	19.39045	1998
1969	"Soly"	146	476	47.129544	18.032354	360
1970	"Solymar"	3449	10282	47.592624	18.938236	738
1971	"Som"	211	680	46.80815	18.13952	412
1972	"Somberek"	444	1394	46.076142	18.659797	2347
1973	"Somlovasarhely"	299	1100	47.120194	17.377664	2656
1974	"Somogyacsa"	18	147	46.59042	17.95436	3058
1975	"Somogyapati"	55	501	46.092807	17.749033	2380
1976	"Somogyaszalo"	110	690	46.459815	17.80525	3121
1977	"Somogybabod"	164	489	46.667185	17.778905	3247
1978	"Somogycsicso"	43	164	46.310335	17.133175	1148
1979	"Somogydorocske"	55	121	46.586189	18.00614	1598
1980	"Somogyegres"	30	203	46.676725	18.02655	2005
1981	"Somogygeszti"	60	470	46.523215	17.77683	2033
1982	"Somogyharsagy"	50	434	46.161285	17.772635	2914
1983	"Somogyjad"	360	1566	46.4916	17.71446	2896
1984	"Somogymeggyes"	81	494	46.70466	17.91174	1287
